"source";"target";"interaction";"directed";"symbol"
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"2a4a0eaf-df2d-4428-b3df-06ac163da87a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"2a4a0eaf-df2d-4428-b3df-06ac163da87a";"9103232c-6f92-4dd3-966b-db659eb25589";"belongsto";"true";0
"30de21f0-7e50-4a1b-8573-28387ba70521";"9103232c-6f92-4dd3-966b-db659eb25589";"belongsto";"true";0
"bfb88d65-f8f5-49ed-8ba2-6ed9f35c1620";"be4b8713-f71a-4161-b1d8-177a69af1f7f";"belongsto";"true";0
"1ad8f68f-f1c1-441d-afe3-99974bdc4b52";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"3ed9e817-610f-4657-bcbf-5b44fe7a3a04";"d3639dfe-2bef-4a77-8c6f-f2dc630f82dc";"belongsto";"true";0
"3ed9e817-610f-4657-bcbf-5b44fe7a3a04";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"eabc30ee-46b0-4239-81e0-63563cd7d0e1";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"eabc30ee-46b0-4239-81e0-63563cd7d0e1";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"000e291d-f3f2-4ad0-b17e-65b045566fba";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"05996596-6658-4375-aae6-d4ffe2fa5e89";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"ea6f7c39-c4cf-466a-98ab-5a0a98a0a7d0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"14b3a544-9341-4a57-b8ed-3efe35f6c04a";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"14b3a544-9341-4a57-b8ed-3efe35f6c04a";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"9c07619d-d621-457a-b7b5-466bed37b749";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"9c07619d-d621-457a-b7b5-466bed37b749";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"5f8b003f-ef2e-49a0-b34e-d4e5bbe90865";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"5f8b003f-ef2e-49a0-b34e-d4e5bbe90865";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"9820e0e5-7662-4848-a156-25c4bc8b5511";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"9820e0e5-7662-4848-a156-25c4bc8b5511";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"d70ce9a3-c402-4db2-a8bc-c86116964102";"af69e4ab-2e26-480a-9f87-5758e4e3bc3b";"belongsto";"true";0
"8a12eb77-574c-4ff8-9fc5-71cc8965010d";"af69e4ab-2e26-480a-9f87-5758e4e3bc3b";"belongsto";"true";0
"69bc2009-0e4f-4692-9a1f-dcf8f1cb2810";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"69bc2009-0e4f-4692-9a1f-dcf8f1cb2810";"e4661282-7195-4641-9001-565994142263";"belongsto";"true";0
"69bc2009-0e4f-4692-9a1f-dcf8f1cb2810";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"69bc2009-0e4f-4692-9a1f-dcf8f1cb2810";"e4661282-7195-4641-9001-565994142263";"belongsto";"true";0
"c4c51509-6a18-4579-b54e-5cf5294993f7";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"c4c51509-6a18-4579-b54e-5cf5294993f7";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"1a472ed7-e5e0-48cd-8635-3c9cab636411";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"1a472ed7-e5e0-48cd-8635-3c9cab636411";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"1a472ed7-e5e0-48cd-8635-3c9cab636411";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"a035879d-2893-419c-b94d-aeb6c47cd8cb";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"5b391587-4e08-4ba2-bbe9-4fe276abd5e6";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"e4661282-7195-4641-9001-565994142263";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"f155da33-ae69-4d8c-b7af-fba7ab54bd33";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"9134aedd-49a3-46ae-9af6-b11348b39b11";"f3e03abc-0030-45b2-8282-7f2ee768c573";"belongsto";"true";0
"28082542-38e7-434e-8800-18e2c78eed4c";"f3e03abc-0030-45b2-8282-7f2ee768c573";"belongsto";"true";0
"158178af-387d-4902-9499-c867c2ddb719";"d3639dfe-2bef-4a77-8c6f-f2dc630f82dc";"belongsto";"true";0
"158178af-387d-4902-9499-c867c2ddb719";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"7228053b-da92-4371-8dc1-df7750e07d8c";"af69e4ab-2e26-480a-9f87-5758e4e3bc3b";"belongsto";"true";0
"9b509639-617e-4adf-bac7-6f34a80499c2";"d3639dfe-2bef-4a77-8c6f-f2dc630f82dc";"belongsto";"true";0
"9b509639-617e-4adf-bac7-6f34a80499c2";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"9c4cb9c2-a9ed-4e5b-b663-1121248685e5";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"1c2771da-cc63-4622-9d61-1eac560fec78";"09926270-7a6a-4295-a46b-16794937f7bd";"belongsto";"true";0
"1c2771da-cc63-4622-9d61-1eac560fec78";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"1c2771da-cc63-4622-9d61-1eac560fec78";"09926270-7a6a-4295-a46b-16794937f7bd";"belongsto";"true";0
"1c2771da-cc63-4622-9d61-1eac560fec78";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"85523bc5-e1ed-452b-9f59-f07430fb9489";"af69e4ab-2e26-480a-9f87-5758e4e3bc3b";"belongsto";"true";0
"68de47b7-7e5a-4b43-9db1-f91b7a59ca00";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"ce99d534-8561-481e-8e14-32efee9f6f4d";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"ce99d534-8561-481e-8e14-32efee9f6f4d";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"7831b728-88dd-48a6-a4ce-7a31e6403464";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"7831b728-88dd-48a6-a4ce-7a31e6403464";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"b21b7351-9bc4-402a-8f34-95fc4912cb37";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d0b051e6-f1f3-485e-b6fa-7a94735fb45c";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"d4dddd53-47d2-4504-9a61-2d83484652af";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"d4dddd53-47d2-4504-9a61-2d83484652af";"9103232c-6f92-4dd3-966b-db659eb25589";"belongsto";"true";0
"fba4cd20-b25d-453a-b0d5-8d7e4e194114";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"fba4cd20-b25d-453a-b0d5-8d7e4e194114";"8eb10fff-70e6-4772-b524-c16d95ed1095";"belongsto";"true";0
"1772481b-9b7f-4e7b-bb9c-072b099b2beb";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"9fda0c4f-dd65-444a-b0d7-1da1d7083cf2";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"6c1adaae-fbbf-4e5e-ae2e-c8842500009f";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"6c1adaae-fbbf-4e5e-ae2e-c8842500009f";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"ca5c5901-95e2-4828-925d-3be8a7abf0ba";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"0072c04b-0c2b-45a9-9a6f-14f25200d0a3";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"0072c04b-0c2b-45a9-9a6f-14f25200d0a3";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
